"Pin Information for the Stratix® V 5SGXA7 Device 
Version 1.2 
3A	VREFB3AN0	IO		CLKUSR	DIFFIO_TX_B1n	DIFFOUT_B1n	AP32	DQ1B	DQ1B											
3A	VREFB3AN0	IO		CRC_ERROR	DIFFIO_TX_B1p	DIFFOUT_B1p	AP31	DQ1B	DQ1B											
3A	VREFB3AN0	IO	RZQ_0		DIFFIO_RX_B2n	DIFFOUT_B2n	AM30	DQSn1B	DQ1B											
3A	VREFB3AN0	IO		DEV_OE	DIFFIO_RX_B2p	DIFFOUT_B2p	AM31	DQS1B	DQ1B/CQn1B											
3A	VREFB3AN0	IO		DEV_CLRn	DIFFIO_TX_B3n	DIFFOUT_B3n	AP30	DQ1B	DQ1B											
3A	VREFB3AN0	IO		INIT_DONE	DIFFIO_TX_B3p	DIFFOUT_B3p	AN30	DQ1B	DQ1B											
3A	VREFB3AN0	IO		nCEO	DIFFIO_RX_B4n	DIFFOUT_B4n	AP28	DQSn2B	DQSn1B/DQ1B											
3A	VREFB3AN0	IO		DATA0	DIFFIO_RX_B4p	DIFFOUT_B4p	AN28	DQS2B	DQS1B/CQ1B											
3A	VREFB3AN0	IO		DATA1	DIFFIO_TX_B5n	DIFFOUT_B5n	AP27	DQ2B	DQ1B											
3A	VREFB3AN0	IO		DATA2	DIFFIO_TX_B5p	DIFFOUT_B5p	AN27	DQ2B	DQ1B											
3A	VREFB3AN0	IO		DATA3	DIFFIO_RX_B6n	DIFFOUT_B6n	AL28	DQ2B	DQ1B											
3A	VREFB3AN0	IO		DATA4	DIFFIO_RX_B6p	DIFFOUT_B6p	AM28	DQ2B	DQ1B											
3A	VREFB3AN0	IO		DATA5	DIFFIO_TX_B7n	DIFFOUT_B7n	AE29	DQ3B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA6	DIFFIO_TX_B7p	DIFFOUT_B7p	AD29	DQ3B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA7	DIFFIO_RX_B8n	DIFFOUT_B8n	AC29	DQSn3B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA8	DIFFIO_RX_B8p	DIFFOUT_B8p	AC30	DQS3B	DQ2B/CQn2B	DQ1B										
3A	VREFB3AN0	IO		DATA9	DIFFIO_TX_B9n	DIFFOUT_B9n	AF29	DQ3B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA10	DIFFIO_TX_B9p	DIFFOUT_B9p	AG30	DQ3B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA11	DIFFIO_RX_B10n	DIFFOUT_B10n	AB29	DQSn4B	DQSn2B/DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA12	DIFFIO_RX_B10p	DIFFOUT_B10p	AA30	DQS4B	DQS2B/CQ2B	DQ1B/CQn1B										
3A	VREFB3AN0	IO		DATA13	DIFFIO_TX_B11n	DIFFOUT_B11n	AE28	DQ4B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA14	DIFFIO_TX_B11p	DIFFOUT_B11p	AD28	DQ4B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA15	DIFFIO_RX_B12n	DIFFOUT_B12n	AB27	DQ4B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA16	DIFFIO_RX_B12p	DIFFOUT_B12p	AA28	DQ4B	DQ2B	DQ1B										
3A	VREFB3AN0	IO		DATA17	DIFFIO_TX_B13n	DIFFOUT_B13n	AH27	DQ5B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA18	DIFFIO_TX_B13p	DIFFOUT_B13p	AG27	DQ5B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA19	DIFFIO_RX_B14n	DIFFOUT_B14n	AJ26	DQSn5B	DQ3B	DQSn1B/DQ1B										
3A	VREFB3AN0	IO		DATA20	DIFFIO_RX_B14p	DIFFOUT_B14p	AH26	DQS5B	DQ3B/CQn3B	DQS1B/CQ1B										
3A	VREFB3AN0	IO		DATA21	DIFFIO_TX_B15n	DIFFOUT_B15n	AK28	DQ5B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA22	DIFFIO_TX_B15p	DIFFOUT_B15p	AJ27	DQ5B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA23	DIFFIO_RX_B16n	DIFFOUT_B16n	AK26	DQSn6B	DQSn3B/DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA24	DIFFIO_RX_B16p	DIFFOUT_B16p	AK27	DQS6B	DQS3B/CQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA25	DIFFIO_TX_B17n	DIFFOUT_B17n	AM26	DQ6B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA26	DIFFIO_TX_B17p	DIFFOUT_B17p	AL26	DQ6B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA27	DIFFIO_RX_B18n	DIFFOUT_B18n	AM25	DQ6B	DQ3B	DQ1B										
3A	VREFB3AN0	IO		DATA28	DIFFIO_RX_B18p	DIFFOUT_B18p	AL25	DQ6B	DQ3B	DQ1B										
3B	VREFB3BN0	IO		DATA29	DIFFIO_TX_B19n	DIFFOUT_B19n	AP25	DQ7B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		DATA30	DIFFIO_TX_B19p	DIFFOUT_B19p	AN25	DQ7B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		DATA31	DIFFIO_RX_B20n	DIFFOUT_B20n	AP24	DQSn7B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		PR_DONE	DIFFIO_RX_B20p	DIFFOUT_B20p	AN24	DQS7B	DQ4B/CQn4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		PR_REQUEST	DIFFIO_TX_B21n	DIFFOUT_B21n	AM23	DQ7B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		PR_READY	DIFFIO_TX_B21p	DIFFOUT_B21p	AL23	DQ7B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK0n		DIFFIO_RX_B22n	DIFFOUT_B22n	AK24	DQSn8B	DQSn4B/DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK0p		DIFFIO_RX_B22p	DIFFOUT_B22p	AK25	DQS8B	DQS4B/CQ4B	DQ2B/CQn2B	DQ1B									
3B	VREFB3BN0	IO		PR_ERROR	DIFFIO_TX_B23n	DIFFOUT_B23n	AK23	DQ8B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		CvP_CONFDONE	DIFFIO_TX_B23p	DIFFOUT_B23p	AJ23	DQ8B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK1n		DIFFIO_RX_B24n	DIFFOUT_B24n	AJ24	DQ8B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK1p		DIFFIO_RX_B24p	DIFFOUT_B24p	AH24	DQ8B	DQ4B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT1,FPLL_BL_CLKOUTn"		DIFFIO_TX_B25n	DIFFOUT_B25n	U25	DQ9B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT0,FPLL_BL_CLKOUTp,FPLL_BL_FB0"		DIFFIO_TX_B25p	DIFFOUT_B25p	U26	DQ9B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT3,FPLL_BL_FBn"		DIFFIO_RX_B26n	DIFFOUT_B26n	Y25	DQSn9B	DQ5B	DQSn2B/DQ2B	DQ1B									
3B	VREFB3BN0	IO	"FPLL_BL_CLKOUT2,FPLL_BL_FBp,FPLL_BL_FB1"		DIFFIO_RX_B26p	DIFFOUT_B26p	W25	DQS9B	DQ5B/CQn5B	DQS2B/CQ2B	DQ1B									
3B	VREFB3BN0	IO		nPERSTL0	DIFFIO_TX_B27n	DIFFOUT_B27n	W26	DQ9B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		nPERSTL1	DIFFIO_TX_B27p	DIFFOUT_B27p	V25	DQ9B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK2n		DIFFIO_RX_B28n	DIFFOUT_B28n	AB26	DQSn10B	DQSn5B/DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK2p		DIFFIO_RX_B28p	DIFFOUT_B28p	AA25	DQS10B	DQS5B/CQ5B	DQ2B	DQ1B/CQn1B									
3B	VREFB3BN0	IO		nPERSTR1	DIFFIO_TX_B29n	DIFFOUT_B29n	AA27	DQ10B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO		nPERSTR0	DIFFIO_TX_B29p	DIFFOUT_B29p	Y26	DQ10B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK3n		DIFFIO_RX_B30n	DIFFOUT_B30n	AB24	DQ10B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO	CLK3p		DIFFIO_RX_B30p	DIFFOUT_B30p	AB23	DQ10B	DQ5B	DQ2B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B31n	DIFFOUT_B31n	AF26	DQ11B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B31p	DIFFOUT_B31p	AE26	DQ11B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B32n	DIFFOUT_B32n	AD26	DQSn11B	DQ6B	DQ3B	DQSn1B/DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B32p	DIFFOUT_B32p	AC26	DQS11B	DQ6B/CQn6B	DQ3B	DQS1B/CQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B33n	DIFFOUT_B33n	AF25	DQ11B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B33p	DIFFOUT_B33p	AE25	DQ11B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B34n	DIFFOUT_B34n	AH25	DQSn12B	DQSn6B/DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B34p	DIFFOUT_B34p	AG25	DQS12B	DQS6B/CQ6B	DQ3B/CQn3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B35n	DIFFOUT_B35n	AG24	DQ12B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B35p	DIFFOUT_B35p	AF24	DQ12B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B36n	DIFFOUT_B36n	AD24	DQ12B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B36p	DIFFOUT_B36p	AC24	DQ12B	DQ6B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B37n	DIFFOUT_B37n	N24	DQ13B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B37p	DIFFOUT_B37p	N23	DQ13B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B38n	DIFFOUT_B38n	R26	DQSn13B	DQ7B	DQSn3B/DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B38p	DIFFOUT_B38p	T25	DQS13B	DQ7B/CQn7B	DQS3B/CQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B39n	DIFFOUT_B39n	T23	DQ13B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B39p	DIFFOUT_B39p	R24	DQ13B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B40n	DIFFOUT_B40n	V23	DQSn14B	DQSn7B/DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B40p	DIFFOUT_B40p	U24	DQS14B	DQS7B/CQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B41n	DIFFOUT_B41n	W24	DQ14B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_TX_B41p	DIFFOUT_B41p	V24	DQ14B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B42n	DIFFOUT_B42n	AA24	DQ14B	DQ7B	DQ3B	DQ1B									
3B	VREFB3BN0	IO			DIFFIO_RX_B42p	DIFFOUT_B42p	Y24	DQ14B	DQ7B	DQ3B	DQ1B									
3C	VREFB3CN0	IO			DIFFIO_TX_B43n	DIFFOUT_B43n	AP21	DQ15B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B43p	DIFFOUT_B43p	AN21	DQ15B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B44n	DIFFOUT_B44n	AP22	DQSn15B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B44p	DIFFOUT_B44p	AN22	DQS15B	DQ8B/CQn8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B45n	DIFFOUT_B45n	AM22	DQ15B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B45p	DIFFOUT_B45p	AL22	DQ15B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B46n	DIFFOUT_B46n	AP19	DQSn16B	DQSn8B/DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B46p	DIFFOUT_B46p	AN19	DQS16B	DQS8B/CQ8B	DQ4B/CQn4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B47n	DIFFOUT_B47n	AM20	DQ16B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B47p	DIFFOUT_B47p	AM19	DQ16B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B48n	DIFFOUT_B48n	AK22	DQ16B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B48p	DIFFOUT_B48p	AK21	DQ16B	DQ8B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B49n	DIFFOUT_B49n	V22	DQ17B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B49p	DIFFOUT_B49p	U22	DQ17B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B50n	DIFFOUT_B50n	Y22	DQSn17B	DQ9B	DQSn4B/DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B50p	DIFFOUT_B50p	W22	DQS17B	DQ9B/CQn9B	DQS4B/CQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B51n	DIFFOUT_B51n	AA22	DQ17B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B51p	DIFFOUT_B51p	Y23	DQ17B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B52n	DIFFOUT_B52n	AB22	DQSn18B	DQSn9B/DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B52p	DIFFOUT_B52p	AB21	DQS18B	DQS9B/CQ9B	DQ4B	DQ2B/CQn2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B53n	DIFFOUT_B53n	AD23	DQ18B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B53p	DIFFOUT_B53p	AC23	DQ18B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B54n	DIFFOUT_B54n	AE22	DQ18B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B54p	DIFFOUT_B54p	AD22	DQ18B	DQ9B	DQ4B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B55n	DIFFOUT_B55n	AF23	DQ19B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B55p	DIFFOUT_B55p	AE23	DQ19B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B56n	DIFFOUT_B56n	AH23	DQSn19B	DQ10B	DQ5B	DQSn2B/DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B56p	DIFFOUT_B56p	AH22	DQS19B	DQ10B/CQn10B	DQ5B	DQS2B/CQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B57n	DIFFOUT_B57n	AG22	DQ19B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B57p	DIFFOUT_B57p	AF22	DQ19B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B58n	DIFFOUT_B58n	AH21	DQSn20B	DQSn10B/DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B58p	DIFFOUT_B58p	AG21	DQS20B	DQS10B/CQ10B	DQ5B/CQn5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B59n	DIFFOUT_B59n	AK20	DQ20B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B59p	DIFFOUT_B59p	AJ20	DQ20B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B60n	DIFFOUT_B60n	AJ21	DQ20B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B60p	DIFFOUT_B60p	AH20	DQ20B	DQ10B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B61n	DIFFOUT_B61n	W20	DQ21B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B61p	DIFFOUT_B61p	W21	DQ21B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B62n	DIFFOUT_B62n	AA21	DQSn21B	DQ11B	DQSn5B/DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B62p	DIFFOUT_B62p	Y21	DQS21B	DQ11B/CQn11B	DQS5B/CQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B63n	DIFFOUT_B63n	AB20	DQ21B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B63p	DIFFOUT_B63p	AA20	DQ21B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B64n	DIFFOUT_B64n	AC21	DQSn22B	DQSn11B/DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B64p	DIFFOUT_B64p	AC20	DQS22B	DQS11B/CQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B65n	DIFFOUT_B65n	AE20	DQ22B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_TX_B65p	DIFFOUT_B65p	AD20	DQ22B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B66n	DIFFOUT_B66n	AF21	DQ22B	DQ11B	DQ5B	DQ2B									
3C	VREFB3CN0	IO			DIFFIO_RX_B66p	DIFFOUT_B66p	AF20	DQ22B	DQ11B	DQ5B	DQ2B									
3D	VREFB3DN0	IO			DIFFIO_TX_B67n	DIFFOUT_B67n	AP18	DQ23B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B67p	DIFFOUT_B67p	AN18	DQ23B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B68n	DIFFOUT_B68n	AM18	DQSn23B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B68p	DIFFOUT_B68p	AL19	DQS23B	DQ12B/CQn12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B69n	DIFFOUT_B69n	AM17	DQ23B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B69p	DIFFOUT_B69p	AL17	DQ23B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B70n	DIFFOUT_B70n	AK18	DQSn24B	DQSn12B/DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B70p	DIFFOUT_B70p	AK17	DQS24B	DQS12B/CQ12B	DQ6B/CQn6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B71n	DIFFOUT_B71n	AH18	DQ24B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B71p	DIFFOUT_B71p	AG19	DQ24B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B72n	DIFFOUT_B72n	AK19	DQ24B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B72p	DIFFOUT_B72p	AJ18	DQ24B	DQ12B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B73n	DIFFOUT_B73n	Y19	DQ25B	DQ13B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B73p	DIFFOUT_B73p	W19	DQ25B	DQ13B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B74n	DIFFOUT_B74n	AA18	DQSn25B	DQ13B	DQSn6B/DQ6B										
3D	VREFB3DN0	IO			DIFFIO_RX_B74p	DIFFOUT_B74p	Y17	DQS25B	DQ13B/CQn13B	DQS6B/CQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B75n	DIFFOUT_B75n	Y18	DQ25B	DQ13B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B75p	DIFFOUT_B75p	W18	DQ25B	DQ13B	DQ6B										
3D	VREFB3DN0	IO	CLK4n		DIFFIO_RX_B76n	DIFFOUT_B76n	AB19	DQSn26B	DQSn13B/DQ13B	DQ6B										
3D	VREFB3DN0	IO	CLK4p		DIFFIO_RX_B76p	DIFFOUT_B76p	AB18	DQS26B	DQS13B/CQ13B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B77n	DIFFOUT_B77n	AF19	DQ26B	DQ13B	DQ6B										
3D	VREFB3DN0	IO			DIFFIO_TX_B77p	DIFFOUT_B77p	AE19	DQ26B	DQ13B	DQ6B										
3D	VREFB3DN0	IO	CLK5n		DIFFIO_RX_B78n	DIFFOUT_B78n	AG18	DQ26B	DQ13B	DQ6B										
3D	VREFB3DN0	IO	CLK5p		DIFFIO_RX_B78p	DIFFOUT_B78p	AF18	DQ26B	DQ13B	DQ6B										
4D	VREFB4DN0	IO	"FPLL_BC_CLKOUT1,FPLL_BC_CLKOUTn"		DIFFIO_TX_B139n	DIFFOUT_B139n	AD17	DQ47B	DQ14B	DQ7B										
4D	VREFB4DN0	IO	"FPLL_BC_CLKOUT0,FPLL_BC_CLKOUTp,FPLL_BC_FB0"		DIFFIO_TX_B139p	DIFFOUT_B139p	AC17	DQ47B	DQ14B	DQ7B										
4D	VREFB4DN0	IO	"FPLL_BC_CLKOUT3,FPLL_BC_FBn"		DIFFIO_RX_B140n	DIFFOUT_B140n	W17	DQSn47B	DQ14B	DQ7B										
4D	VREFB4DN0	IO	"FPLL_BC_CLKOUT2,FPLL_BC_FBp,FPLL_BC_FB1"		DIFFIO_RX_B140p	DIFFOUT_B140p	Y16	DQS47B	DQ14B/CQn14B	DQ7B										
4D	VREFB4DN0	IO			DIFFIO_TX_B141n	DIFFOUT_B141n	W16	DQ47B	DQ14B	DQ7B										
